Time,yaw,pitch,roll,acx,acy,acz,gyx,gyy,gyz,mgx,mgy,mgz,myaw,mpitch,mroll,,sys,g,a,m
0:00:00.006,90,3.5,-3.38,0.62,0.6,9.75,0.06,-0.12,-0.12,-38.5,-0.37,18,90.68,3.59,-3.49,,3,3,3,3
0:00:00.006,90,3.5,-3.38,0.61,0.59,9.78,-0.06,0,-0.06,-38.5,0,18.37,90.68,3.59,-3.49,,3,3,3,3
0:00:00.006,90,3.5,-3.38,0.62,0.61,9.75,-0.12,0.06,0,-38.5,0,18.37,90.68,3.59,-3.49,,3,3,3,3
0:00:00.006,90,3.5,-3.38,0.62,0.6,9.78,-0.06,-0.06,-0.12,-38.5,0.75,18.75,90.68,3.59,-3.49,,3,3,3,3
0:00:00.106,90,3.5,-3.38,0.6,0.58,9.75,-0.19,0.12,-0.06,-38.5,0.75,18.75,90.68,3.58,-3.48,,3,3,3,3
0:00:00.106,90,3.5,-3.38,0.61,0.58,9.76,-0.12,0.19,-0.06,-39.25,1.5,18,90.68,3.58,-3.48,,3,3,3,3
0:00:00.106,90,3.5,-3.38,0.61,0.58,9.78,-0.06,0,0,-39.25,1.5,18,90.67,3.58,-3.48,,3,3,3,3
0:00:00.106,90,3.5,-3.38,0.61,0.59,9.76,0,-0.06,-0.19,-39.25,0,19.56,90.68,3.58,-3.48,,3,3,3,3
0:00:00.207,90,3.5,-3.38,0.63,0.6,9.78,0,0.12,-0.06,-39.25,0,19.56,90.68,3.58,-3.48,,3,3,3,3
0:00:00.207,90,3.5,-3.38,0.6,0.59,9.75,0.06,0.06,-0.06,-38.88,0,18,90.68,3.58,-3.48,,3,3,3,3
0:00:00.207,90,3.5,-3.38,0.6,0.58,9.73,0,-0.06,-0.12,-38.88,0,18,90.69,3.58,-3.48,,3,3,3,3
0:00:00.207,90,3.5,-3.38,0.63,0.6,9.74,0.06,0,0.06,-38.88,1.06,18,90.68,3.58,-3.48,,3,3,3,3
0:00:00.307,90,3.5,-3.38,0.61,0.61,9.76,0,0,-0.06,-38.88,1.06,18,90.68,3.58,-3.48,,3,3,3,3
0:00:00.307,90,3.5,-3.38,0.61,0.61,9.75,0,-0.12,-0.06,-38.5,1.5,18.75,90.68,3.58,-3.49,,3,3,3,3
0:00:00.307,90,3.5,-3.38,0.61,0.59,9.76,0.06,0,-0.12,-38.5,1.5,18.75,90.67,3.58,-3.49,,3,3,3,3
0:00:00.307,90,3.5,-3.38,0.63,0.6,9.76,0,0,0,-38.5,-0.37,17.56,90.68,3.58,-3.49,,3,3,3,3
0:00:00.408,90,3.5,-3.38,0.61,0.59,9.78,0.06,0,0,-38.5,-0.37,17.56,90.68,3.58,-3.49,,3,3,3,3
0:00:00.408,90,3.5,-3.38,0.61,0.6,9.76,-0.12,0,0.06,-38.5,-0.37,18.37,90.69,3.58,-3.48,,3,3,3,3
0:00:00.408,90,3.5,-3.38,0.61,0.63,9.76,0,0,0,-38.5,-0.37,18.37,90.69,3.58,-3.48,,3,3,3,3
0:00:00.408,90,3.5,-3.38,0.62,0.62,9.78,0.06,-0.12,0,-38.88,1.06,18.37,90.69,3.59,-3.49,,3,3,3,3
0:00:00.508,90,3.5,-3.38,0.6,0.61,9.79,0,-0.19,0.06,-38.88,1.06,18.37,90.68,3.59,-3.49,,3,3,3,3
0:00:00.508,90,3.5,-3.38,0.61,0.61,9.76,0,0,-0.12,-38.88,1.5,18,90.68,3.59,-3.49,,3,3,3,3
0:00:00.508,90,3.5,-3.38,0.62,0.59,9.78,-0.06,0,-0.06,-38.88,1.5,18,90.68,3.59,-3.49,,3,3,3,3
0:00:00.508,90,3.5,-3.38,0.6,0.6,9.77,-0.12,0.12,0,-38.06,0.37,18,90.68,3.59,-3.49,,3,3,3,3
0:00:00.609,90,3.5,-3.38,0.62,0.61,9.73,-0.06,0,-0.12,-38.06,0.37,18,90.68,3.59,-3.49,,3,3,3,3
0:00:00.609,90,3.5,-3.38,0.61,0.6,9.76,0.06,-0.06,-0.12,-38.88,1.5,17.56,90.67,3.59,-3.49,,3,3,3,3
0:00:00.609,90,3.5,-3.38,0.6,0.61,9.74,0.12,0,-0.12,-38.88,1.5,17.56,90.67,3.59,-3.5,,3,3,3,3
0:00:00.609,90,3.5,-3.38,0.6,0.6,9.73,-0.19,-0.06,0,-39.25,-0.37,17.06,90.67,3.59,-3.49,,3,3,3,3
0:00:00.709,90,3.5,-3.38,0.62,0.6,9.75,-0.12,0.25,0.06,-39.25,-0.37,17.06,90.68,3.58,-3.49,,3,3,3,3
0:00:00.709,90,3.5,-3.38,0.58,0.61,9.76,0,0,0,-38.06,0,18.37,90.68,3.58,-3.49,,3,3,3,3
0:00:00.709,90,3.5,-3.38,0.61,0.6,9.78,-0.12,0.06,-0.12,-38.06,0,18.37,90.69,3.58,-3.49,,3,3,3,3
0:00:00.709,90,3.5,-3.38,0.6,0.6,9.74,-0.12,0.06,0,-38.88,-0.37,18.37,90.69,3.58,-3.49,,3,3,3,3
0:00:00.810,90,3.5,-3.38,0.6,0.6,9.75,0.12,0,0,-38.88,-0.37,18.37,90.7,3.58,-3.49,,3,3,3,3
0:00:00.810,90,3.5,-3.38,0.59,0.62,9.76,0,-0.06,0,-38.5,1.06,16.75,90.69,3.58,-3.49,,3,3,3,3
0:00:00.810,90,3.5,-3.38,0.61,0.61,9.78,-0.06,-0.12,-0.06,-38.5,1.06,16.75,90.69,3.58,-3.49,,3,3,3,3
0:00:00.810,90,3.5,-3.38,0.62,0.61,9.77,-0.06,0.06,0,-38.88,-0.37,17.06,90.69,3.58,-3.49,,3,3,3,3
0:00:00.912,90,3.5,-3.38,0.6,0.6,9.76,-0.06,0.06,0,-38.88,-0.37,17.06,90.7,3.58,-3.49,,3,3,3,3
0:00:00.912,90,3.5,-3.38,0.61,0.6,9.75,0.12,0,-0.06,-38.06,1.06,18.75,90.7,3.58,-3.49,,3,3,3,3
0:00:00.912,90,3.5,-3.38,0.61,0.59,9.77,-0.12,-0.06,0.06,-38.06,1.06,18.75,90.69,3.58,-3.49,,3,3,3,3
0:00:00.912,90,3.5,-3.38,0.62,0.59,9.78,0,-0.12,-0.06,-38.88,1.06,18.75,90.69,3.58,-3.49,,3,3,3,3
0:00:01.010,90,3.5,-3.38,0.59,0.59,9.75,0.12,-0.06,0.06,-38.88,1.06,18.75,90.69,3.58,-3.49,,3,3,3,3
0:00:01.010,90,3.5,-3.38,0.62,0.6,9.75,-0.06,-0.06,0.06,-38.88,1.06,18,90.68,3.58,-3.49,,3,3,3,3
0:00:01.010,90,3.5,-3.38,0.6,0.61,9.76,0.12,-0.19,-0.06,-38.88,1.06,18,90.68,3.58,-3.5,,3,3,3,3
0:00:01.010,90,3.5,-3.38,0.62,0.61,9.76,0,-0.06,-0.12,-38.06,0.37,18.37,90.68,3.58,-3.5,,3,3,3,3
0:00:01.111,90,3.5,-3.38,0.6,0.61,9.78,0.06,-0.12,0,-38.06,0.37,18.37,90.68,3.58,-3.5,,3,3,3,3
0:00:01.111,90,3.5,-3.38,0.61,0.61,9.77,0.06,0.06,0.06,-38.06,-0.69,17.56,90.69,3.58,-3.5,,3,3,3,3
0:00:01.111,90,3.5,-3.38,0.62,0.61,9.77,0.12,0,-0.06,-38.06,-0.69,17.56,90.7,3.58,-3.49,,3,3,3,3
0:00:01.111,90,3.5,-3.38,0.61,0.58,9.77,0,0,-0.06,-38.88,-0.37,18,90.7,3.58,-3.49,,3,3,3,3
0:00:01.217,90,3.5,-3.38,0.59,0.59,9.76,0.12,-0.19,-0.12,-38.88,-0.37,18,90.71,3.59,-3.49,,3,3,3,3
0:00:01.217,90,3.5,-3.38,0.61,0.58,9.78,0.06,0,-0.12,-38.88,0.75,18.37,90.71,3.58,-3.49,,3,3,3,3
0:00:01.217,90,3.5,-3.38,0.63,0.61,9.76,0.06,-0.12,-0.12,-38.88,0.75,18.37,90.71,3.59,-3.49,,3,3,3,3
0:00:01.217,90,3.5,-3.38,0.62,0.61,9.77,0,0,0,-39.25,0.37,18.37,90.71,3.59,-3.49,,3,3,3,3
0:00:01.217,90,3.5,-3.38,0.61,0.6,9.77,0.06,-0.12,0,-39.25,0.37,18.37,90.71,3.59,-3.49,,3,3,3,3
0:00:01.317,90,3.5,-3.38,0.62,0.57,9.75,-0.19,-0.12,0,-38.06,-1.5,18,90.72,3.59,-3.49,,3,3,3,3
